F1 Anomaly at:,1448866800.0,95.0
F1 Anomaly at:,1448867400.0,114.0
F1 Anomaly at:,1448868000.0,99.0
F1 Anomaly at:,1448868600.0,97.0
F1 Anomaly at:,1448869200.0,105.0
F1 Anomaly at:,1448869800.0,108.0
F1 Anomaly at:,1448870400.0,104.0
F1 Anomaly at:,1448871000.0,71.0
F1 Anomaly at:,1448871600.0,112.0
F1 Anomaly at:,1448872200.0,109.0
F1 Anomaly at:,1448872800.0,103.0
F1 Anomaly at:,1448873400.0,92.0
F1 Anomaly at:,1448874000.0,143.0
F2 Anomaly at:,1448867400.0,61.605
F2 Anomaly at:,1448869800.0,66.0865
F2 Anomaly at:,1448871000.0,61.941
F2 Anomaly at:,1448874000.0,79.3075
